"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11"
7,373;7,563;7,502;7,345;7,052;7,025;7,644;8,098;7,834;7,486;6,831;6,892
7,085;7,373;7,563;7,502;7,345;7,052;7,025;7,644;8,098;7,834;7,486;6,831
6,695;7,085;7,373;7,563;7,502;7,345;7,052;7,025;7,644;8,098;7,834;7,486
6,292;6,695;7,085;7,373;7,563;7,502;7,345;7,052;7,025;7,644;8,098;7,834
5,792;6,292;6,695;7,085;7,373;7,563;7,502;7,345;7,052;7,025;7,644;8,098
5,22;5,792;6,292;6,695;7,085;7,373;7,563;7,502;7,345;7,052;7,025;7,644
4,701;5,22;5,792;6,292;6,695;7,085;7,373;7,563;7,502;7,345;7,052;7,025
4,589;4,701;5,22;5,792;6,292;6,695;7,085;7,373;7,563;7,502;7,345;7,052
4,128;4,589;4,701;5,22;5,792;6,292;6,695;7,085;7,373;7,563;7,502;7,345
3,185;4,128;4,589;4,701;5,22;5,792;6,292;6,695;7,085;7,373;7,563;7,502
2,089;3,185;4,128;4,589;4,701;5,22;5,792;6,292;6,695;7,085;7,373;7,563
0,88;2,089;3,185;4,128;4,589;4,701;5,22;5,792;6,292;6,695;7,085;7,373
-0,036;0,88;2,089;3,185;4,128;4,589;4,701;5,22;5,792;6,292;6,695;7,085
0,121;-0,036;0,88;2,089;3,185;4,128;4,589;4,701;5,22;5,792;6,292;6,695
-0,213;0,121;-0,036;0,88;2,089;3,185;4,128;4,589;4,701;5,22;5,792;6,292
-0,676;-0,213;0,121;-0,036;0,88;2,089;3,185;4,128;4,589;4,701;5,22;5,792
-1,108;-0,676;-0,213;0,121;-0,036;0,88;2,089;3,185;4,128;4,589;4,701;5,22
-1,59;-1,108;-0,676;-0,213;0,121;-0,036;0,88;2,089;3,185;4,128;4,589;4,701
-1,994;-1,59;-1,108;-0,676;-0,213;0,121;-0,036;0,88;2,089;3,185;4,128;4,589
-2,463;-1,994;-1,59;-1,108;-0,676;-0,213;0,121;-0,036;0,88;2,089;3,185;4,128
-2,898;-2,463;-1,994;-1,59;-1,108;-0,676;-0,213;0,121;-0,036;0,88;2,089;3,185
-2,909;-2,898;-2,463;-1,994;-1,59;-1,108;-0,676;-0,213;0,121;-0,036;0,88;2,089
-3,017;-2,909;-2,898;-2,463;-1,994;-1,59;-1,108;-0,676;-0,213;0,121;-0,036;0,88
-3,119;-3,017;-2,909;-2,898;-2,463;-1,994;-1,59;-1,108;-0,676;-0,213;0,121;-0,036
-2,851;-3,119;-3,017;-2,909;-2,898;-2,463;-1,994;-1,59;-1,108;-0,676;-0,213;0,121
-2,817;-2,851;-3,119;-3,017;-2,909;-2,898;-2,463;-1,994;-1,59;-1,108;-0,676;-0,213
-2,505;-2,817;-2,851;-3,119;-3,017;-2,909;-2,898;-2,463;-1,994;-1,59;-1,108;-0,676
-2,233;-2,505;-2,817;-2,851;-3,119;-3,017;-2,909;-2,898;-2,463;-1,994;-1,59;-1,108
-2,24;-2,233;-2,505;-2,817;-2,851;-3,119;-3,017;-2,909;-2,898;-2,463;-1,994;-1,59
-2,106;-2,24;-2,233;-2,505;-2,817;-2,851;-3,119;-3,017;-2,909;-2,898;-2,463;-1,994
-2,081;-2,106;-2,24;-2,233;-2,505;-2,817;-2,851;-3,119;-3,017;-2,909;-2,898;-2,463
-2;-2,081;-2,106;-2,24;-2,233;-2,505;-2,817;-2,851;-3,119;-3,017;-2,909;-2,898
-2,115;-2;-2,081;-2,106;-2,24;-2,233;-2,505;-2,817;-2,851;-3,119;-3,017;-2,909
-2,094;-2,115;-2;-2,081;-2,106;-2,24;-2,233;-2,505;-2,817;-2,851;-3,119;-3,017
-1,979;-2,094;-2,115;-2;-2,081;-2,106;-2,24;-2,233;-2,505;-2,817;-2,851;-3,119
-1,516;-1,979;-2,094;-2,115;-2;-2,081;-2,106;-2,24;-2,233;-2,505;-2,817;-2,851
-1,73;-1,516;-1,979;-2,094;-2,115;-2;-2,081;-2,106;-2,24;-2,233;-2,505;-2,817
-2,101;-1,73;-1,516;-1,979;-2,094;-2,115;-2;-2,081;-2,106;-2,24;-2,233;-2,505
-2,805;-2,101;-1,73;-1,516;-1,979;-2,094;-2,115;-2;-2,081;-2,106;-2,24;-2,233
-3,783;-2,805;-2,101;-1,73;-1,516;-1,979;-2,094;-2,115;-2;-2,081;-2,106;-2,24
-4,312;-3,783;-2,805;-2,101;-1,73;-1,516;-1,979;-2,094;-2,115;-2;-2,081;-2,106
-4,555;-4,312;-3,783;-2,805;-2,101;-1,73;-1,516;-1,979;-2,094;-2,115;-2;-2,081
-4,38;-4,555;-4,312;-3,783;-2,805;-2,101;-1,73;-1,516;-1,979;-2,094;-2,115;-2
-4,623;-4,38;-4,555;-4,312;-3,783;-2,805;-2,101;-1,73;-1,516;-1,979;-2,094;-2,115
-4,386;-4,623;-4,38;-4,555;-4,312;-3,783;-2,805;-2,101;-1,73;-1,516;-1,979;-2,094
-4,142;-4,386;-4,623;-4,38;-4,555;-4,312;-3,783;-2,805;-2,101;-1,73;-1,516;-1,979
-3,748;-4,142;-4,386;-4,623;-4,38;-4,555;-4,312;-3,783;-2,805;-2,101;-1,73;-1,516
-3,261;-3,748;-4,142;-4,386;-4,623;-4,38;-4,555;-4,312;-3,783;-2,805;-2,101;-1,73
-2,66;-3,261;-3,748;-4,142;-4,386;-4,623;-4,38;-4,555;-4,312;-3,783;-2,805;-2,101
-2,678;-2,66;-3,261;-3,748;-4,142;-4,386;-4,623;-4,38;-4,555;-4,312;-3,783;-2,805
-1,999;-2,678;-2,66;-3,261;-3,748;-4,142;-4,386;-4,623;-4,38;-4,555;-4,312;-3,783
-1,152;-1,999;-2,678;-2,66;-3,261;-3,748;-4,142;-4,386;-4,623;-4,38;-4,555;-4,312
-0,526;-1,152;-1,999;-2,678;-2,66;-3,261;-3,748;-4,142;-4,386;-4,623;-4,38;-4,555
-0,159;-0,526;-1,152;-1,999;-2,678;-2,66;-3,261;-3,748;-4,142;-4,386;-4,623;-4,38
